"EventID","MachineName","Data","EntryType","Message","Source","ReplacementStrings","TimeGenerated","TimeWritten","UserName"
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket 1971078399849264591, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC1E5.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC4A5.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC4D5.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC4E2.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC551.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WERC592.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_7b9d1df5-548c-4a18-8707-d547f129a20d\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_7b9d1df5-548c-4a18-8707-d547f129a20d

Analysis symbol: 
Rechecking for solution: 0
Report Id: 3d604a96-6e2d-40ae-8374-3dbc0ec2c7e7
Report Status: 268435456
Hashed bucket: ac692caaa33764794b5aad5c8775f5cf
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 13:06:06","18/05/2024 13:06:06",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC1E5.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC4A5.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC4D5.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC4E2.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC551.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WERC592.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_7b9d1df5-548c-4a18-8707-d547f129a20d\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_7b9d1df5-548c-4a18-8707-d547f129a20d

Analysis symbol: 
Rechecking for solution: 0
Report Id: 3d604a96-6e2d-40ae-8374-3dbc0ec2c7e7
Report Status: 4
Hashed bucket: 
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 13:06:04","18/05/2024 13:06:04",
"1000","DESKTOP-LUGE14R","System.Byte[]","Error","Faulting application name: wps.exe, version: 12.2.0.16909, time stamp: 0x662d3006
Faulting module name: ksolite.dll, version: 12.2.0.16909, time stamp: 0x662d3043
Exception code: 0xc0000005
Fault offset: 0x0054d9f2
Faulting process ID: 0x498c
Faulting application start time: 0x01daa8fa38e82d51
Faulting application path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\wps.exe
Faulting module path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\ksolite.dll
Report ID: 3d604a96-6e2d-40ae-8374-3dbc0ec2c7e7
Faulting package full name: 
Faulting package-relative application ID: ","Application Error","System.String[]","18/05/2024 13:06:02","18/05/2024 13:06:02",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket 1971078399849264591, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6197.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6457.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6496.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER64C3.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6541.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WER6583.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_1bfbeee9-fcac-4d17-8a45-432668959c0e\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_1bfbeee9-fcac-4d17-8a45-432668959c0e

Analysis symbol: 
Rechecking for solution: 0
Report Id: 5ad8269e-0888-4462-a9e3-e624853b6dc7
Report Status: 268435456
Hashed bucket: ac692caaa33764794b5aad5c8775f5cf
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:58:03","18/05/2024 12:58:03",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6197.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6457.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6496.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER64C3.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6541.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WER6583.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_1bfbeee9-fcac-4d17-8a45-432668959c0e\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_1bfbeee9-fcac-4d17-8a45-432668959c0e

Analysis symbol: 
Rechecking for solution: 0
Report Id: 5ad8269e-0888-4462-a9e3-e624853b6dc7
Report Status: 4
Hashed bucket: 
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:58:01","18/05/2024 12:58:01",
"1000","DESKTOP-LUGE14R","System.Byte[]","Error","Faulting application name: wps.exe, version: 12.2.0.16909, time stamp: 0x662d3006
Faulting module name: ksolite.dll, version: 12.2.0.16909, time stamp: 0x662d3043
Exception code: 0xc0000005
Fault offset: 0x0054d9f2
Faulting process ID: 0x358c
Faulting application start time: 0x01daa8f91839feb3
Faulting application path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\wps.exe
Faulting module path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\ksolite.dll
Report ID: 5ad8269e-0888-4462-a9e3-e624853b6dc7
Faulting package full name: 
Faulting package-relative application ID: ","Application Error","System.String[]","18/05/2024 12:57:58","18/05/2024 12:57:58",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket 1971078399849264591, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER62EE.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6408.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6438.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6445.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER64C3.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WER6505.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_43ca5265-a0ab-47dd-b14d-af98a4644336\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_43ca5265-a0ab-47dd-b14d-af98a4644336

Analysis symbol: 
Rechecking for solution: 0
Report Id: 8e761136-f0da-46a9-8336-15c602a4f91a
Report Status: 268435456
Hashed bucket: ac692caaa33764794b5aad5c8775f5cf
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:43:50","18/05/2024 12:43:50",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER62EE.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6408.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6438.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6445.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER64C3.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WER6505.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_43ca5265-a0ab-47dd-b14d-af98a4644336\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_43ca5265-a0ab-47dd-b14d-af98a4644336

Analysis symbol: 
Rechecking for solution: 0
Report Id: 8e761136-f0da-46a9-8336-15c602a4f91a
Report Status: 4
Hashed bucket: 
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:43:49","18/05/2024 12:43:49",
"1000","DESKTOP-LUGE14R","System.Byte[]","Error","Faulting application name: wps.exe, version: 12.2.0.16909, time stamp: 0x662d3006
Faulting module name: ksolite.dll, version: 12.2.0.16909, time stamp: 0x662d3043
Exception code: 0xc0000005
Fault offset: 0x0054d9f2
Faulting process ID: 0x231c
Faulting application start time: 0x01daa8f71d40e971
Faulting application path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\wps.exe
Faulting module path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\ksolite.dll
Report ID: 8e761136-f0da-46a9-8336-15c602a4f91a
Faulting package full name: 
Faulting package-relative application ID: ","Application Error","System.String[]","18/05/2024 12:43:47","18/05/2024 12:43:47",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket 1971078399849264591, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREB0D.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERED7F.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREDDD.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREDEB.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREE69.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WEREEAB.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_acfd1394-dee9-414f-aa61-947d0e7573bd\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_acfd1394-dee9-414f-aa61-947d0e7573bd

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9d02fad7-b27b-4646-9b33-e9dc93e13315
Report Status: 268435456
Hashed bucket: ac692caaa33764794b5aad5c8775f5cf
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:40:04","18/05/2024 12:40:04",
