"EventID","MachineName","Data","EntryType","Message","Source","ReplacementStrings","TimeGenerated","TimeWritten","UserName"
"7040","DESKTOP-LUGE14R","System.Byte[]","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","18/05/2024 13:15:18","18/05/2024 13:15:18","NT AUTHORITY\SYSTEM"
"7040","DESKTOP-LUGE14R","System.Byte[]","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","18/05/2024 13:12:57","18/05/2024 13:12:57","NT AUTHORITY\SYSTEM"
"7040","DESKTOP-LUGE14R","System.Byte[]","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","18/05/2024 12:43:07","18/05/2024 12:43:07","NT AUTHORITY\SYSTEM"
"7040","DESKTOP-LUGE14R","System.Byte[]","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","18/05/2024 12:40:46","18/05/2024 12:40:46","NT AUTHORITY\SYSTEM"
"7040","DESKTOP-LUGE14R","System.Byte[]","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","18/05/2024 12:37:37","18/05/2024 12:37:37","NT AUTHORITY\SYSTEM"
"7040","DESKTOP-LUGE14R","System.Byte[]","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","18/05/2024 12:35:17","18/05/2024 12:35:17","NT AUTHORITY\SYSTEM"
"6013","DESKTOP-LUGE14R","System.Byte[]","Information","The system uptime is 119228 seconds.","EventLog","System.String[]","18/05/2024 12:00:00","18/05/2024 12:00:00",
"7040","DESKTOP-LUGE14R","System.Byte[]","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","18/05/2024 11:37:44","18/05/2024 11:37:44","NT AUTHORITY\SYSTEM"
"1796","DESKTOP-LUGE14R","System.Byte[]","Error","The Secure Boot update failed to update a Secure Boot variable with error -2147020471. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931","Microsoft-Windows-TPM-WMI","System.String[]","18/05/2024 11:37:13","18/05/2024 11:37:13","NT AUTHORITY\SYSTEM"
"16","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'169', '\??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-776856091-2747213066-2907446845-1001\SystemAppData\Helium\Cache\eeb3d9041eb2e394_COM15.dat', '1', '1'","Microsoft-Windows-Kernel-General","System.String[]","18/05/2024 11:37:04","18/05/2024 11:37:04","NT AUTHORITY\SYSTEM"
